name,url,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
immerjs/immer,https://github.com/immerjs/immer,2017-12-29T12:25:47Z,2024-09-19T07:46:06Z,JavaScript,374,109,668,633,94.76
microsoft/qlib,https://github.com/microsoft/qlib,2020-08-14T06:46:00Z,2025-08-19T09:46:10Z,Python,725,23,980,724,73.88
PostHog/posthog,https://github.com/PostHog/posthog,2020-01-23T22:46:58Z,2025-08-20T12:16:38Z,Python,24999,18,7684,5553,72.27
AvaloniaUI/Avalonia,https://github.com/AvaloniaUI/Avalonia,2013-12-05T20:13:21Z,2025-08-20T11:48:58Z,C#,5316,110,7867,6157,78.26
donnemartin/data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,2015-01-23T19:38:29Z,2024-03-20T13:52:34Z,Python,31,0,41,22,53.66
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,2021-08-09T14:17:24Z,2025-07-28T17:07:07Z,C,18,288,2464,2190,88.88
shengxinjing/programmer-job-blacklist,https://github.com/shengxinjing/programmer-job-blacklist,2016-06-25T06:09:10Z,2024-06-09T14:56:42Z,Shell,28,0,338,181,53.55
vercel/turborepo,https://github.com/vercel/turborepo,2021-10-05T17:37:11Z,2025-08-18T22:58:57Z,Rust,6221,496,1936,1806,93.29
continuedev/continue,https://github.com/continuedev/continue,2023-05-24T03:39:39Z,2025-08-20T10:50:22Z,TypeScript,2810,384,3654,2919,79.89
sunface/rust-course,https://github.com/sunface/rust-course,2018-08-07T05:01:21Z,2025-07-08T03:48:57Z,Rust,783,0,209,149,71.29
vuejs/vuex,https://github.com/vuejs/vuex,2015-07-16T04:21:26Z,2024-09-25T13:26:41Z,JavaScript,656,51,1266,1167,92.18
jumpserver/jumpserver,https://github.com/jumpserver/jumpserver,2014-07-04T03:54:59Z,2025-08-20T10:50:36Z,Python,7532,249,7316,7284,99.56
openai/openai-python,https://github.com/openai/openai-python,2020-10-25T23:23:54Z,2025-08-20T05:04:01Z,Python,993,318,1077,989,91.83
codepath/android_guides,https://github.com/codepath/android_guides,2013-06-19T10:24:45Z,2024-12-31T19:40:50Z,N/A,9,0,381,219,57.48
containers/podman,https://github.com/containers/podman,2017-11-01T15:01:27Z,2025-08-20T10:35:34Z,Go,11700,228,10028,9244,92.18
helm/helm,https://github.com/helm/helm,2015-10-06T01:07:32Z,2025-08-19T20:08:19Z,Go,4107,216,8141,7668,94.19
openssl/openssl,https://github.com/openssl/openssl,2013-01-15T22:34:48Z,2025-08-20T08:51:15Z,C,145,283,10746,9086,84.55
jamiebuilds/the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler,2016-03-11T04:19:18Z,2024-02-19T12:33:21Z,JavaScript,20,0,0,0,0.0
telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,2014-05-02T12:36:31Z,2025-08-18T19:34:07Z,C++,1745,798,15237,14355,94.21
viraptor/reverse-interview,https://github.com/viraptor/reverse-interview,2019-09-08T13:38:40Z,2025-02-19T22:41:18Z,N/A,75,0,25,18,72.0
MichaelCade/90DaysOfDevOps,https://github.com/MichaelCade/90DaysOfDevOps,2021-12-26T13:55:18Z,2025-06-04T02:09:07Z,Shell,358,2,89,80,89.89
VSCodium/vscodium,https://github.com/VSCodium/vscodium,2018-08-13T14:26:58Z,2025-08-18T20:12:49Z,Shell,549,239,1508,1390,92.18
eugeneyan/applied-ml,https://github.com/eugeneyan/applied-ml,2020-07-04T18:57:47Z,2024-07-18T22:41:02Z,N/A,208,0,24,22,91.67
caolan/async,https://github.com/caolan/async,2010-06-01T21:01:30Z,2025-08-14T19:06:53Z,JavaScript,558,7,1142,1132,99.12
GitbookIO/gitbook,https://github.com/GitbookIO/gitbook,2014-03-31T03:01:56Z,2025-08-20T12:15:38Z,TypeScript,1292,75,1910,1880,98.43
LizardByte/Sunshine,https://github.com/LizardByte/Sunshine,2021-12-15T23:38:57Z,2025-08-20T11:00:36Z,C++,1469,43,1061,983,92.65
linera-io/linera-protocol,https://github.com/linera-io/linera-protocol,2021-12-19T04:09:21Z,2025-08-20T11:41:40Z,Rust,2674,18,1239,759,61.26
digitalocean/nginxconfig.io,https://github.com/digitalocean/nginxconfig.io,2018-01-05T14:21:14Z,2024-12-14T10:56:21Z,JavaScript,191,0,239,184,76.99
alibaba/druid,https://github.com/alibaba/druid,2011-11-03T05:12:51Z,2025-08-14T03:03:02Z,Java,1517,51,4537,2285,50.36
